"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,130,21654,126,26,1726717
2023-06-01,yandex,cpc,prof-frontend,96,57138,91,15,1430340
2023-06-01,yandex,cpc,prof-python,82,33026,81,12,954735
2023-06-01,vk,cpc,prof-python,97,2028,66,7,588004
2023-06-01,vk,cpc,freemium-frontend,126,3160,82,9,552181
2023-06-01,yandex,cpc,base-python,37,12524,34,8,547928
2023-06-01,vk,cpc,prof-java,82,3115,50,3,383918
2023-06-01,yandex,cpc,prof-java,61,29490,61,5,355987
2023-06-01,yandex,cpc,base-frontend,54,18061,53,4,322155
2023-06-09,telegram,cpp,base-java,4,0,1,1,302384
2023-06-20,telegram,cpp,base-java,3,0,1,1,302384
2023-06-01,vk,cpc,prof-data-analytics,76,1072,56,5,253444
2023-06-01,vk,cpc,freemium-python,66,980,45,3,249186
2023-06-01,yandex,cpc,prof-professions-brand,24,4818,23,4,230307
2023-06-01,yandex,cpc,prof-data-analytics,17,10086,17,2,220264
